"property","title","description"
"","Coda","Coda JMS gestita"
"dcmQueueName","Nome coda","Nome coda JMS"
"dcmJndiName","JNDI Name","JNDI Name"
"dicomDescription","Descrizione DICOM","Descrizione testuale dell'entità DICOM"
"dcmMaxRetries","Numero massimo di tentativi","Numero massimo di tentativi per elaborare le attività pianificate in una coda specifica."
"dcmRetryDelay","Intervallo tra i tentativi:","Ritardo per riprovare a elaborare le attività pianificate in una coda specifica nel formato di durata ISO-8601 PnDTnHnMn.nS."
"dcmMaxRetryDelay","Maximum Retry Delay","Ritardo per riprovare a elaborare le attività pianificate in una coda specifica nel formato di durata ISO-8601 PnDTnHnMn.nS. Infinito se assente."
"dcmRetryDelayMultiplier","Moltiplicatore ritardo di riprova","Moltiplicatore in % che avrà effetto su dcmRetryDelay con dcmMaxRetryDelay da prendere in considerazione."
"dcmRetryOnWarning","Riprova con avviso","Consente i nuovi tentativi per elaborare le attività non solo in caso di errore ma anche in caso di stato di risultato di avviso in una coda specifica."
"dcmRetryInProcessOnStartup","Riprova IN PROCESS all'avvio","Indica di ritentare le attività lasciate nello stato IN PROCESS all'avvio del sistema."
"dcmPurgeQueueMessageCompletedDelay","Ritardo per l'eliminazione dei messaggi completati dalla coda","Ritardo nel formato di durata ISO-8601 PnDTnHnMn.nS dopo il quale i messaggi completati vengono eliminati dalla coda. Se assente, non c'è cancellazione per quella coda particolare"
"dcmPurgeQueueMessageFailedDelay","Ritardo per l'eliminazione dei messaggi falliti in coda","Ritardo nel formato di durata ISO-8601 PnDTnHnMn.nS dopo il quale i messaggi falliti vengono eliminati dalla coda. Se assente, non c'è cancellazione per quella coda particolare"
"dcmPurgeQueueMessageWarningDelay","Ritardo per l'eliminazione dei messaggi della coda di avviso","Ritardo nel formato di durata ISO-8601 PnDTnHnMn.nS dopo il quale i messaggi di avviso vengono eliminati dalla coda. Se assente, non c'è cancellazione per quella coda particolare"
"dcmPurgeQueueMessageCanceledDelay","Ritardo per l'eliminazione dei messaggi annullati in coda ","Ritardo nel formato di durata ISO-8601 PnDTnHnMn.nS dopo il quale i messaggi di annullamento vengono eliminati dalla coda. Se assente, non c'è cancellazione per quella coda particolare"
"dcmMaxQueueSize","Maximum Queue Size","Numero massimo di attività pianificate nella coda. Se il numero di attività pianificate raggiunge il limite, il tentativo di pianificare altre attività fallirà. 0 = nessuna limitazione."
"dcmSchedule","Limita pianificazione","Limita la pianificazione a intervalli di tempo specificati. Utilizzare la dimensione massima della coda per controllare il numero massimo di attività elaborate tra intervalli di tempo specificati. Efficace solo per la 'TO SCHEDULE' pianificazione delle attività di recupero."
