"property","title","description"
"","रांग","व्यवस्थापित JMS रांग"
"dcmQueueName","रांगेचे नाव","JMS रांगेचे नाव."
"dcmJndiName","JNDI नाव","JNDI नाव."
"dicomDescription","DICOM वर्णन","DICOM घटकाचे मजकूर वर्णन."
"dcmMaxRetries","पुन्हा प्रयत्न करण्याची अधिकतम संख्या","विशिष्ट रांगेत अनुसूची केलेल्या कार्यांचे प्रक्रिया करण्यासाठी जास्तीत जास्त पुन्हा प्रयत्न करण्याची संख्या."
"dcmRetryDelay","पुन्हा प्रयत्न करण्याचा विलंब","विशिष्ट रांगेत अनुसूची केलेल्या कार्यांवर पुन्हा प्रक्रिया प्रयत्न करण्यासाठी ISO-8601 कालावधी स्वरूपात PnDTnHnMn.nS विलंब."
"dcmMaxRetryDelay","पुन्हा प्रयत्न करण्याचा अधिकतम विलंब","विशिष्ट रांगेत अनुसूची केलेल्या कार्यांवर पुन्हा प्रक्रिया प्रयत्न करण्यासाठी ISO-8601 कालावधी स्वरूपात PnDTnHnMn.nS अधिकतम विलंब. अनुपस्थित असल्यास अनंत."
"dcmRetryDelayMultiplier","पुन्हा प्रयत्न करण्याचा विलंब गुणक","% मध्ये गुणक जे 'पुन्हा प्रयत्न करण्याचा अधिकतम विलंब' च्या बरोबर 'पुन्हा प्रयत्न करण्याचा विलंब' च्या शीर्षस्थानी प्रभावी होईल."
"dcmRetryOnWarning","चेतावणी देण्याचा पुन्हा प्रयत्न करा","केवळ अयशस्वी झाल्यावरच नव्हे तर एका विशिष्ट रांगेतील चेतावणीच्या परिणामाच्या स्थितीवर कार्यांची प्रक्रिया पुन्हा करण्याचा प्रयत्न सक्षम करते."
"dcmRetryInProcessOnStartup","स्टार्टअप वर प्रक्रियेत असलेले कार्य पुन्हा प्रयत्न करा","सिस्टीम स्टार्ट-अपवर प्रक्रियेत असलेल्या स्थितीत राहिलेले कार्य पुन्हा प्रक्रिया करण्याचा प्रयत्न करते."
"dcmPurgeQueueMessageCompletedDelay","रांगेतले पूर्ण संदेश हटविण्याचे विलंब","ISO-8601 कालावधी स्वरूपात विलंब PnDTnHnMn.nS ज्यानंतर रांगेतले पूर्ण संदेश हटविले जातात. अनुपस्थित असल्यास, त्या विशिष्ट रांगेसाठी कोणतेही हटविले जाणार नाही."
"dcmPurgeQueueMessageFailedDelay","रांगेतले अयशस्वी संदेश हटविण्याचे विलंब","ISO-8601 कालावधी स्वरूपात PnDTnHnMn.nS विलंब ज्यानंतर रांगेतले अयशस्वी संदेश हटविले जातात. अनुपस्थित असल्यास, त्या विशिष्ट रांगेसाठी कोणतेही हटविले जाणार नाही."
"dcmPurgeQueueMessageWarningDelay","रांगेतले चेतावणी संदेश हटविण्याचे विलंब","ISO-8601 कालावधी स्वरूपात PnDTnHnMn.nS विलंब ज्यानंतर रांगेतले चेतावणी संदेश हटविले जातात. अनुपस्थित असल्यास, त्या विशिष्ट रांगेसाठी कोणतेही हटविले जाणार नाही."
"dcmPurgeQueueMessageCanceledDelay","रांगेतले रद्द संदेश हटविण्याचे विलंब","ISO-8601 कालावधी स्वरूपात विलंब PnDTnHnMn.nS ज्यानंतर रांगेतले रद्द संदेश हटविले जातात. अनुपस्थित असल्यास, त्या विशिष्ट रांगेसाठी कोणतेही हटविले जाणार नाही."
"dcmMaxQueueSize","रांगेचा कमाल आकार","रांगेत अनुसूची केलेल्या कार्यांची कमाल संख्या. अनुसूची केलेल्या कार्यांची संख्या मर्यादेपर्यंत पोहोचल्यावर, इतर कार्ये अनुसूची करण्याचा प्रयत्न अयशस्वी होईल. ० = मर्यादा नाही."
"dcmSchedule","अनुसूची करणे प्रतिबंधित करा","निर्दिष्ट वेळ श्रेणीसाठी अनुसूची करणे प्रतिबंधित करा. निर्दिष्ट वेळ श्रेणी दरम्यान प्रक्रिया केलेल्या कार्यांची अधिकतम संख्याला रांगेच्या अधिकतम संख्याने नियंत्रित करा. केवळ 'TO SCHEDULE' (= अनुसूचित करायचे आहे) पुनर्प्राप्त करण्याच्या कार्यांसाठी प्रभावी."
