"property","title","description"
"","कतार","व्यवस्थापित JMS कतार ।"
"dcmQueueName","कतार का नाम","JMS कतार का नाम ।"
"dcmJndiName","JNDI का नाम","JNDI का नाम ।"
"dicomDescription","DICOM वर्णन","DICOM तत्त्व का विषयक वर्णन ।"
"dcmMaxRetries","पुनःपरीक्षण की अधिकतम संख्या","विनिर्दिष्ट कतार में अनुसूचित किए गए कार्यों पे पुनःपरीक्षण प्रक्रिया करने की अधिकतम संख्या ।"
"dcmRetryDelay","पुनःपरीक्षण विलम्ब","निर्दिष्ट कतार में अनुसूचित कार्यों की प्रक्रिया करने के लिए ISO-8601 कालावधि प्रारूप PnDTnHnMn.nS में पुनःपरीक्षण का विलम्ब ।"
"dcmMaxRetryDelay","अधिकतम पुनःपरीक्षण विलम्ब","निर्दिष्ट कतार में अनुसूचित कार्यों की प्रक्रिया पुनःपरीक्षण करने के लिए ISO-8601 कालावधि प्रारूप PnDTnHnMn.nS में अधिकतम विलम्ब ।यदि निर्दिष्ट नहीं किया गया है, तो अनन्त ।"
"dcmRetryDelayMultiplier","पुनःपरीक्षण विलम्ब गुणक","% में गुणक जो 'अधिकतम पुनःपरीक्षण विलम्ब' के साथ 'पुनःपरीक्षण विलम्ब' के शीर्ष पर प्रभावी होगा ।"
"dcmRetryOnWarning","चेतावनी पे पुनःपरीक्षण करें","निर्दिष्ट कतार में असफल तथा चेतावनी स्थिति के कार्यों के प्रक्रिया का पुनःपरीक्षण करने में सक्षम बनाता है ।"
"dcmRetryInProcessOnStartup","स्टार्टअप पे 'प्रक्रिया जारी' स्थिति के कार्यों का पुनःपरीक्षण करें","सिस्टम स्टार्टअप पे 'प्रक्रिया जारी' स्थिति के कार्यों का पुनःपरीक्षण करने का संकेत करता है ।"
"dcmPurgeQueueMessageCompletedDelay","पूर्ण स्थिति के कतार संदेशों का परिष्करण करने का विलम्ब","ISO-8601 कालावधि प्रारूप PnDTnHnMn.nS में विलम्ब जिसके बाद पूर्ण स्थिति के कतार संदेशों का परिष्करण किया जाएगा । यदि निर्दिष्ट नहीं किया है, तो उस कतार के लिए परिष्करण नहीं होगा ।"
"dcmPurgeQueueMessageFailedDelay","असफल स्थिति के कतार संदेशों का परिष्करण करने का विलम्ब","ISO-8601 कालावधि प्रारूप PnDTnHnMn.nS में विलम्ब जिसके बाद असफल स्थिति के कतार संदेशों का परिष्करण किया जाएगा । यदि निर्दिष्ट नहीं किया है, तो उस कतार के लिए परिष्करण नहीं होगा ।"
"dcmPurgeQueueMessageWarningDelay","चेतावनी स्थिति के कतार संदेशों का परिष्करण करने का विलम्ब","ISO-8601 कालावधि प्रारूप PnDTnHnMn.nS में विलम्ब जिसके बाद चेतावनी स्थिति के कतार संदेशों का परिष्करण किया जाएगा । यदि निर्दिष्ट नहीं किया है, तो उस कतार के लिए परिष्करण नहीं होगा ।"
"dcmPurgeQueueMessageCanceledDelay","रद्द स्थिति के कतार संदेशों का परिष्करण करने का विलम्ब","ISO-8601 कालावधि प्रारूप PnDTnHnMn.nS में विलम्ब जिसके बाद रद्द स्थिति के कतार संदेशों का परिष्करण किया जाएगा । यदि निर्दिष्ट नहीं किया है, तो उस कतार के लिए परिष्करण नहीं होगा ।"
"dcmMaxQueueSize","कतार का अधिकतम माप","कतार में अनुसूचित कार्यों की अधिकतम संख्या । यदि अनुसूचित कार्यों की संख्या सीमा तक पहुँच जाती है, अन्य कार्यों को अनुसूचित करने का प्रयास असफल होगा । ० = कोई सीमा नहीं ।"
"dcmSchedule","अनुसूचन सिमित करें","निर्दिष्ट समय रंजों में अनुसूचन को सिमित करें । निर्दिष्ट समय रंजों में प्रक्रिया किए गए कार्यों की अधिकतम संख्या को कतार के अधिकतम संख्या द्वारा निरिक्षण करें । सिर्फ 'TO SCHEDULE' (= अनुसूचित करना बाकी है) पुनःप्राप्ति कार्यों के लिए प्रभावशाली होगा ।"
