"property","title","description"
"","HL7 अभ्यास धारणा धोरण","HL7 अभ्यास धारणा धोरण."
"cn","नाव","HL7 अभ्यास धारणा धोरणाचे अनियंत्रित / अर्थपूर्ण नाव."
"dicomAETitle","अनुप्रयोग घटक AE चे शीर्षक","अनुप्रयोग घटक AE चे शीर्षक."
"dcmRetentionPeriod","किमान अभ्यास धारणा कालावधी","ISO-8601 कालावधी स्वरूपात PnYnMnD किंवा PnW किमान अभ्यास धारणा कालावधी."
"dcmMaxRetentionPeriod","कमाल अभ्यास धारणा कालावधी","ISO-8601 कालावधी स्वरूपात PnYnMnD किंवा PnW मध्ये अधिकतम अभ्यास धारणा कालावधी."
"dcmRulePriority","नियम प्राधान्य","नियम प्राधान्य."
"dcmProperty","अटी","अटी या स्वरूपात {SEG}-{Seq#}[.{Comp#}[.{SubComp#}]][!]={regEx}. उदाहरणे: MSH-4=FORWARD किंवा MSH-9=ADT\^A28\^ADT_A05 किंवा PID-3[.3]=PIDIssuer किंवा PID-3[.3[.2]]=PIDIssuerUniversalEntityIDType"
"dcmStartRetentionPeriodOnStudyDate","अभ्यासाच्या तारखेपासून धारणा कालावधी प्रारंभ करा","हा नियम ट्रिगर करणारे HL7 संदेश प्राप्त तारखेऐवजी वैयक्तिक अभ्यासाच्या तारखांवर धारणा कालावधी सुरू केला पाहिजे का हे सूचित करते."
"dcmExporterID","कालबाह्य झालेला अभ्यास निर्यात करा","निर्दिष्ट निर्यातकाचा वापर करुन कालबाह्य झालेला अभ्यास / मालिका निर्यात करा."
"dcmFreezeExpirationDate","समाप्ती तारीख गोठवा","खालील कार्यक्रमांद्वारे कालबाह्यता तारखेचे बदल अक्षम करण्यासाठी सूचित करा."
"dcmRevokeExpiration","कालबाह्यता तारीख मागे घ्या","मागील संच कालबाह्यता तारीख मागे घेण्यासाठी सूचित करा."
