"property","title","description"
"","यू.पी.एस. प्रसंस्करण नियम","एकीकृत कार्यसूची में मिलान वर्क आइटम्स पे प्रक्रिया करें ।"
"dcmUPSProcessingRuleID","यू.पी.एस. प्रसंस्करण नियम की आई.डी.","यू.पी.एस. प्रसंस्करण नियम की आई.डी. ।"
"dicomAETitle","अनुप्रयोग तत्त्व (ए.इ.) का नाम","अनुप्रयोग तत्त्व (ए.इ.) का नाम ।"
"dcmURI","यू.पी.एस. प्रसंस्करण यू.आर.आइ.","मिलान वर्क आइटम्स पे प्रक्रिया करने के लिए यू.पी.एस. प्रसंस्करण की पहचान करता है ।"
"dcmProperty","प्रसंस्करण गुण","यू.पी.एस. प्रसंस्करण निर्भर गुण इस प्रारूप में <नाम>=<मूल्य> ।"
"dcmSchedule","प्रसंस्करण कालावधि","निर्दिष्ट समय अवधि में प्रसंस्करण करें ।यदि कोई प्रसंस्करण कालावधि निर्दिष्ट नहीं किया गया है, तो वर्क आइटम्स को उनके अनुसूचित प्रक्रिया स्टेप प्रारंभ तारीख समय (००४०,४००५) पर प्रसंस्करण करें ।इस प्रारूप में : 'hour=[0-23] dayOfWeek=[0-6]' (0=Sunday) ।"
"dcmMaxThreads","थ्रेड्स की अधिकतम संख्या","मिलान वर्क आइटम्स पे प्रसंस्करण करने के लिए थ्रेड्स की अधिकतम संख्या ।"
"dcmUPSInputReadinessState","इनपुट तत्परता स्थिति","मिलान इनपुट तत्परता स्थिति (००४०,४०४१) के वर्क आइटम्स पे प्रसंस्करण करें ।"
"dcmUPSPriority","प्राथमिकता","मिलान अनुसूचित प्रक्रिया स्टेप प्राथमिकता (००७४,१२००) के वर्क आइटम्स पे प्रसंस्करण करें ।यदि निर्दिष्ट नहीं किया गया है, तो किसी भी प्राथमिकता के वर्क आइटम्स पर प्रसंस्करण करें, लेकिन वर्क आइटम्स को उनके प्राथमिकता अनुसार प्रसंस्करण करें ।"
"dcmUPSLabel","प्रक्रिया स्टेप लेबल","मिलान प्रक्रिया स्टेप लेबल (००७४,१२०४) के वर्क आइटम्स पे प्रसंस्करण करें ।यदि निर्दिष्ट नहीं किया गया है, तो किसी भी प्रक्रिया स्टेप लेबल के वर्क आइटम्स पर प्रसंस्करण करें ।"
"dcmUPSWorklistLabel","कार्यसूची लेबल","मिलान कार्यसूची लेबल (००७४,१२०२) के वर्क आइटम्स पे प्रसंस्करण करें ।यदि निर्दिष्ट नहीं किया गया है, तो किसी भी कार्यसूची लेबल के वर्क आइटम्स पर प्रसंस्करण करें ।"
"dcmUPSScheduledWorkitemCode","अनुसूचित वर्क आइटम कोड","अनुसूचित वर्क आइटम कोड क्रम (००४०,४०१८) में मिलान कोड के वर्क आइटम्स पे प्रसंस्करण करें, इस प्रारूप में (CV, CSD, ""CM"") ।यदि निर्दिष्ट नहीं किया गया है, तो किसी भी अनुसूचित वर्क आइटम कोड के वर्क आइटम्स पर प्रसंस्करण करें ।"
"dcmUPSScheduledStationNameCode","अनुसूचित स्टेशन नाम कोड","अनुसूचित स्टेशन नाम कोड क्रम (००४०,४०२५) में मिलान कोड के वर्क आइटम्स पे प्रसंस्करण करें, इस प्रारूप में (CV, CSD, ""CM"") ।यदि निर्दिष्ट नहीं किया गया है, तो किसी भी अनुसूचित स्टेशन नाम कोड के वर्क आइटम्स पर प्रसंस्करण करें ।"
"dcmUPSScheduledStationClassCode","अनुसूचित स्टेशन वर्ग कोड","अनुसूचित स्टेशन वर्ग कोड क्रम (००४०,४०२६) में मिलान कोड के वर्क आइटम्स पे प्रसंस्करण करें, इस प्रारूप में (CV, CSD, ""CM"") ।यदि निर्दिष्ट नहीं किया गया है, तो किसी भी अनुसूचित स्टेशन वर्ग कोड के वर्क आइटम्स पर प्रसंस्करण करें ।"
"dcmUPSScheduledStationLocationCode","अनुसूचित स्टेशन भौगोलिक स्थान कोड","अनुसूचित स्टेशन भौगोलिक स्थान कोड क्रम (००४०,४०२७) में मिलान कोड के वर्क आइटम्स पे प्रसंस्करण करें, इस प्रारूप में (CV, CSD, ""CM"") ।यदि निर्दिष्ट नहीं किया गया है, तो किसी भी अनुसूचित स्टेशन भौगोलिक स्थान कोड के वर्क आइटम्स पर प्रसंस्करण करें ।"
"dcmUPSPerformedWorkitemCode","संपादित वर्क आइटम कोड","प्रक्रिया किए गए यू.पी.एस. में संपादित वर्क आइटम कोड क्रम (००४०,४०१९) का आइटम, इस प्रारूप में (CV, CSD, ""CM"") ।"
"dcmUPSPerformedStationNameCode","संपादित स्टेशन नाम कोड","प्रक्रिया किए गए यू.पी.एस. में संपादित स्टेशन नाम कोड क्रम (००४०,४०२८) का आइटम, इस प्रारूप में (CV, CSD, ""CM"") ।"
"dcmUPSIgnoreDiscontinuationReasonCode","अवरित कारण कोड नज़रअंदाज़ करें","अवरित कारण कोड को, इस प्रारूप में (CV, CSD, ""CM""), नज़रअंदाज़ करके यू.पी.एस. के स्थिति को CANCELED के बजाय COMPLETED में बदलने को निर्दिष्ट करता है ।"
"dcmUPSRescheduleDiscontinuationReasonCode","अवरित कारण कोड पुनर्निर्धारित करें","रद्द किए गए यू.पी.एस. को पुनर्निर्धारित करने के लिए अवरित कारण कोड को, इस प्रारूप में (CV, CSD, ""CM"") निर्दिष्ट करता है । यदि निर्दिष्ट नहीं किया गया है, तो किसी भी अवरित कारण कोड से रद्द किए गए यू.पी.एस. उनके निर्दिष्ट अधिकतम पुनर्निर्धारण संख्या के अनुसार पुनर्निर्धारित किए जाएंगे ।"
"dcmMaxRetries","अधिकतम पुनर्निर्धारण संख्या","प्रसंस्करण असफल हुए वर्क आइटम को पुनर्निर्धारित करने की अधितम संख्या ।"
"dcmRetryDelay","पुनर्निर्धारण विलम्ब","प्रसंस्करण असफल हुए वर्क आइटम को पुनर्निर्धारित करने के लिए आई.एस.ओ.-८६०१ कालावधि प्रारूप PnDTnHnMn.nS में विलम्ब ।"
"dcmMaxRetryDelay","अधिकतम पुनर्निर्धारण विलम्ब","प्रसंस्करण असफल हुए वर्क आइटम को पुनर्निर्धारित करने के लिए आई.एस.ओ.-८६०१ कालावधि प्रारूप PnDTnHnMn.nS में अधिकतम विलम्ब ।यदि निर्दिष्ट नहीं किया गया है, तो अनन्त ।"
"dcmRetryDelayMultiplier","पुनर्निर्धारण विलम्ब गुणक","% में गुणक जो अधिकतम पुनर्निर्धारित विलम्ब के साथ पुनर्निर्धारित विलम्ब के शीर्ष पर प्रभावी होगा ।"
