"property","title","description"
"","UPS 処理 規則","統合 ワークリストの 一致する 作業項目を 処理 する"
"dcmUPSProcessingRuleID","UPS 処理 規則 ID","UPS 処理 規則の ID"
"dicomAETitle","アプリケーション エンティティ（AE）タイトル","アプリケーション エンティティ（AE）タイトル"
"dcmURI","UPS プロセッサー URI","一致する 作業項目を 処理するための UPS プロセッサーを 識別します。"
"dcmProperty","処理 属性","UPS プロセッサー 依存 属性。 形式 : <名前>=<値>"
"dcmSchedule","処理 予定","指定した 期間に 処理を 遅延 する。 処理 予定が 指定されて いない 場合、 予定された 手順 ステップの 開始日時 (0040,4005)で 作業項目を 処理します。 形式: 'hour=[0-23] dayOfWeek=[0-6]' (0=日曜日 )"
"dcmMaxThreads","スレッドの最大数","一致する 作業項目の 処理に 使用される スレッドの 最大数。"
"dcmUPSInputReadinessState","入力 覚悟 状態","一致する 入力 準備 状態（0040,4041)の 作業項目を 処理します。"
"dcmUPSPriority","優先度","一致する 予定 手順 ステップ 優先度 (0074,1200)の 作業項目を 処理します。 存在しない 場合は、任意の 優先度 順位の 作業項目を 処理しますが、優先度 順位に 従って 処理を 順序 付けます。"
"dcmUPSLabel","手順 ステップ ラベル","一致する 手順 ステップ ラベル (0074,1204)の 作業項目を 処理します。 存在しない 場合は、任意の 手順 ステップ ラベルの 作業項目を 処理します。"
"dcmUPSWorklistLabel","ワークリスト ラベル","一致する ワークリスト ラベルの 作業項目を 処理します (0074,1202)。 存在しない 場合は、 任意の ワークリスト ラベルの 作業項目を 処理します。"
"dcmUPSScheduledWorkitemCode","予定された 作業項目 コード","予定された 作業項目 コード シーケンス (0040,4018)の (CV, CSD, ""CM"") 形式で  一致する コード アイテムの 作業項目を 処理します。存在しない 場合は、 任意の 予定された 作業項目 コードの 作業項目を 処理します。"
"dcmUPSScheduledStationNameCode","予定された ステーション名 コード","予定された ステーション名 コード シーケンス (0040,4025)の (CV, CSD, ""CM"") 形式で 一致する コード アイテムの 作業項目を 処理します。存在しない 場合は、 任意の 予定された ステーション名 コードの 作業項目を 処理します。"
"dcmUPSScheduledStationClassCode","予定された ステーション クラス コード","予定された ステーション クラス コード シーケンス (0040,4026)の (CV, CSD, ""CM"") 形式で 一致する コード アイテムの 作業項目を 処理します。 存在しない 場合は、 任意の 予定された ステーション クラス コードの 作業項目を 処理します。"
"dcmUPSScheduledStationLocationCode","予定された ステーション 地理的 位置 コード","予定された ステーション 地理的 位置 クラス シーケンス (0040,4027)の (CV, CSD, ""CM"") 形式で 一致する コード アイテムの 作業項目を 処理します。 存在しない 場合は、 任意の 予定された ステーション 地理的 位置 コードの 作業項目を 処理します。"
"dcmUPSPerformedWorkitemCode","実行済み 作業項目 コード","処理済み UPS内の 実行済み 作業項目 コード シーケンス (0040,4019)の (CV, CSD, ""CM"") 形式で アイテム。"
"dcmUPSPerformedStationNameCode","実行された ステーション名 コード","処理された UPS内の 実行された ステーション名 コード シーケンスの (0040,4028)の (CV, CSD, ""CM"") 形式で アイテム。"
"dcmUPSIgnoreDiscontinuationReasonCode","中止 理由 コードを 無視します","(CV, CSD, ""CM"") 形式で 中止 理由 コードを 無視して, UPS 状態を COMPLETED に 変更します - CANCELEDに 変更 に かわって します。"
"dcmUPSRescheduleDiscontinuationReasonCode","中止 理由 コードを 再予定します","キャンセルされた UPSを 再予定するために、 中止 理由 コードを (CV, CSD, ""CM"") 形式で 指定します。存在しない 場合は、 任意の 中止 理由 コードで キャンセルされた UPS 指定された '再予定の 最大数'に 従って 再予定します。"
"dcmUPSTemplateID","キャンセル時に UPSを 作成 する","処理が 失敗し、 再試行が 予定されなくなった 場合に UPSを 作成するための UPS テンプレート 作業項目の インスタンス UIDを 指定します。 存在しない 場合、 失敗時に UPSは 作成されません。"
"dcmMaxRetries","再予定の 最大数","処理に 失敗した 作業項目の 再予定の 最大数。"
"dcmRetryDelay","再予定 遅延","ISO-8601 期間 形式 PnDTnHnMn.nSで 処理が 失敗した 作業項目を 再予定 する 遅延。"
"dcmMaxRetryDelay","最大 再予定 遅延","ISO-8601 期間 形式 PnDTnHnMn.nSで 処理が 失敗した 作業項目を 再予定 する 最大 遅延。 存在しない 場合は 無限。"
"dcmRetryDelayMultiplier","再予定 遅延 乗数","'最大 再予定 遅延'を 考慮に 入れて '再予定 遅延'の 上に 有効に なる 乗数 (%)"
